File Name, Depth, Hegazy Vs, Andrus Vs,  Rob Vs, Mc15 Vs,  Mc18 Vs
CPT_6458, 16.84, 251.97,  215.82,  243.71, 245.73,  411.19
CPT_6458, 16.86, 252.26,  215.83,  243.63, 245.51,  411.29
CPT_6458, 16.88, 255.48,  216.64,  244.52, 245.65,  412.50
CPT_6458, 16.90, 257.78,  217.03,  244.77, 245.24,  413.12
CPT_6458, 16.92, 258.37,  217.01,  244.60, 244.82,  413.20
CPT_6458, 16.94, 255.39,  216.66,  244.50, 245.64,  412.85
CPT_6458, 16.96, 250.33,  215.85,  244.08, 246.73,  411.97
CPT_6458, 16.98, 243.66,  214.50,  243.26, 247.85,  410.51
CPT_6458, 17.00, 239.75,  213.87,  243.49, 249.49,  410.19
CPT_6458, 17.02, 235.30,  212.78,  243.00, 250.35,  409.22
CPT_6458, 17.04, 234.61,  212.91,  244.15, 252.17,  410.07
CPT_6458, 17.06, 235.64,  213.33,  244.77, 252.64,  410.80
CPT_6458, 17.08, 243.38,  215.98,  247.82, 254.12,  414.39
CPT_6458, 17.10, 252.26,  218.92,  251.28, 255.77,  418.33
CPT_6458, 17.12, 258.65,  220.97,  253.65, 256.82,  421.03
CPT_6458, 17.14, 262.36,  222.16,  255.08, 257.49,  422.66
CPT_6458, 17.16, 266.27,  223.35,  256.42, 257.99,  424.24
CPT_6458, 17.18, 263.57,  222.59,  255.56, 257.71,  423.39
CPT_6458, 17.20, 260.35,  221.49,  254.02, 256.69,  421.98
CPT_6458, 17.22, 255.78,  219.98,  251.98, 255.47,  420.01
CPT_6458, 17.24, 253.78,  219.25,  250.86, 254.61,  419.04
CPT_6458, 17.26, 251.22,  218.45,  249.89, 254.15,  418.09
CPT_6458, 17.28, 250.24,  218.09,  249.30, 253.68,  417.64
CPT_6458, 17.30, 255.15,  218.74,  248.64, 251.20,  418.07
CPT_6458, 17.32, 257.43,  218.78,  247.91, 249.50,  418.04
CPT_6458, 17.34, 257.52,  218.37,  246.95, 248.23,  417.52
CPT_6458, 17.36, 255.10,  217.58,  245.87, 247.56,  416.52
CPT_6458, 17.38, 254.06,  217.60,  246.18, 248.30,  416.70
CPT_6458, 17.40, 250.89,  217.21,  246.28, 249.43,  416.37
CPT_6458, 17.42, 243.54,  215.82,  245.98, 251.39,  415.01
CPT_6458, 17.44, 239.45,  214.85,  245.53, 252.13,  414.07
CPT_6458, 17.46, 234.62,  213.43,  244.40, 252.20,  412.46
CPT_6458, 17.48, 231.64,  212.50,  243.54, 252.03,  411.38
CPT_6458, 17.50, 230.67,  212.13,  242.90, 251.49,  410.85
CPT_6458, 17.52, 230.48,  211.87,  241.93, 250.24,  410.26
CPT_6458, 17.54, 171.98,  188.89,  216.40, 235.00,  374.35
CPT_6458, 17.56, 195.98,  198.84,  225.56, 239.70,  390.35
CPT_6458, 17.58, 211.92,  204.37,  230.54, 241.10,  398.47
CPT_6458, 17.60, 219.37,  206.86,  233.16, 242.17,  402.24
CPT_6458, 17.62, 227.04,  209.23,  235.59, 242.92,  405.78
CPT_6458, 17.64, 235.79,  211.90,  238.58, 244.09,  409.79
CPT_6458, 17.66, 240.35,  213.17,  239.93, 244.44,  411.74
CPT_6458, 17.68, 241.88,  213.59,  240.35, 244.52,  412.45
CPT_6458, 17.70, 242.07,  213.58,  240.23, 244.32,  412.55
CPT_6458, 17.72, 234.46,  211.93,  239.01, 245.11,  410.32
CPT_6458, 17.74, 230.78,  211.45,  239.47, 246.90,  409.97
CPT_6458, 17.76, 227.49,  210.86,  239.82, 248.42,  409.58
CPT_6458, 17.78, 224.74,  210.25,  239.96, 249.51,  409.15
CPT_6458, 17.80, 222.64,  209.68,  239.81, 250.00,  408.66
CPT_6458, 17.82, 219.38,  208.64,  239.06, 250.07,  407.48
CPT_6458, 17.84, 219.19,  208.62,  239.15, 250.26,  407.61
CPT_6458, 17.86, 221.12,  209.46,  240.56, 251.49,  409.12
CPT_6458, 17.88, 221.51,  209.75,  241.54, 252.68,  409.97
CPT_6458, 17.90, 225.14,  211.13,  243.21, 253.69,  412.04
CPT_6458, 17.92, 231.67,  213.48,  245.66, 254.79,  415.25
CPT_6458, 17.94, 237.26,  215.35,  247.40, 255.27,  417.70
CPT_6458, 17.96, 243.03,  217.18,  249.00, 255.53,  420.05
CPT_6458, 17.98, 248.54,  218.25,  248.61, 253.33,  421.06
CPT_6458, 18.00, 255.66,  219.86,  249.60, 252.46,  423.20
CPT_6458, 18.02, 257.54,  219.80,  248.75, 250.84,  423.17
CPT_6458, 18.04, 255.66,  218.99,  247.45, 249.76,  422.15
CPT_6458, 18.06, 251.78,  217.82,  245.97, 249.02,  420.60
CPT_6458, 18.08, 254.24,  218.61,  246.95, 249.56,  421.82
CPT_6458, 18.10, 256.55,  220.30,  250.06, 252.83,  424.30
CPT_6458, 18.12, 259.04,  221.48,  252.01, 254.56,  426.09
CPT_6458, 18.14, 256.72,  220.73,  250.99, 253.96,  425.14
CPT_6458, 18.16, 250.95,  218.80,  248.38, 252.35,  422.51
CPT_6458, 18.18, 235.62,  213.88,  242.41, 249.34,  415.63
CPT_6458, 18.20, 219.93,  208.52,  235.99, 245.88,  407.85
CPT_6458, 18.22, 207.81,  204.16,  230.88, 243.01,  401.30
CPT_6458, 18.24, 205.59,  203.57,  230.84, 243.68,  400.70
CPT_6458, 18.26, 158.92,  183.86,  210.56, 230.51,  366.31
CPT_6458, 18.28, 181.55,  194.12,  220.86, 238.02,  385.71
CPT_6458, 18.30, 191.52,  198.23,  225.04, 240.50,  392.55
CPT_6458, 18.32, 218.42,  208.49,  236.73, 247.39,  408.62
CPT_6458, 18.34, 232.76,  213.49,  242.50, 250.43,  415.99
CPT_6458, 18.36, 227.32,  211.73,  240.57, 249.62,  413.58
CPT_6458, 18.38, 216.58,  208.02,  236.45, 247.63,  408.28
CPT_6458, 18.40, 207.31,  204.61,  232.50, 245.39,  403.19
CPT_6458, 18.42, 203.50,  203.13,  230.58, 244.08,  400.91
CPT_6458, 18.44, 208.69,  204.80,  231.45, 243.63,  403.25
CPT_6458, 18.46, 216.36,  206.81,  232.16, 242.22,  406.15
CPT_6458, 18.48, 226.66,  208.77,  232.70, 239.90,  409.49
