d,vs
0.0,149.0
0.01,149.0
0.02,149.0
0.03,149.0
0.04,149.0
0.05,149.0
0.06,149.0
0.07,149.0
0.08,149.0
0.09,149.0
0.1,149.0
0.11,149.0
0.12,149.0
0.13,149.0
0.14,149.0
0.15,149.0
0.16,149.0
0.17,149.0
0.18,149.0
0.19,149.0
0.2,149.0
0.21,149.0
0.22,149.0
0.23,149.0
0.24,149.0
0.25,149.0
0.26,149.0
0.27,149.0
0.28,149.0
0.29,149.0
0.3,149.0
0.31,149.0
0.32,149.0
0.33,149.0
0.34,149.0
0.35,149.0
0.36,149.0
0.37,149.0
0.38,149.0
0.39,149.0
0.4,149.0
0.41,149.0
0.42,149.0
0.43,149.0
0.44,149.0
0.45,149.0
0.46,149.0
0.47,149.0
0.48,149.0
0.49,149.0
0.5,149.0
0.51,149.0
0.52,149.0
0.53,149.0
0.54,149.0
0.55,149.0
0.56,149.0
0.57,149.0
0.58,149.0
0.59,149.0
0.6,149.0
0.61,149.0
0.62,149.0
0.63,149.0
0.64,149.0
0.65,149.0
0.66,149.0
0.67,149.0
0.68,149.0
0.69,149.0
0.7,149.0
0.71,149.0
0.72,149.0
0.73,149.0
0.74,149.0
0.75,149.0
0.76,149.0
0.77,149.0
0.78,149.0
0.79,149.0
0.8,149.0
0.81,149.0
0.82,149.0
0.83,149.0
0.84,149.0
0.85,149.0
0.86,149.0
0.87,149.0
0.88,149.0
0.89,149.0
0.9,149.0
0.91,149.0
0.92,149.0
0.93,149.0
0.94,149.0
0.95,149.0
0.96,149.0
0.97,149.0
0.98,149.0
0.99,149.0
1.0,149.0
1.01,149.0
1.02,149.0
1.03,149.0
1.04,149.0
1.05,149.0
1.06,149.0
1.07,149.0
1.08,149.0
1.09,149.0
1.1,149.0
1.11,149.0
1.12,149.0
1.13,149.0
1.14,149.0
1.15,149.0
1.16,149.0
1.17,149.0
1.18,149.0
1.19,149.0
1.2,149.0
1.21,149.0
1.22,149.0
1.23,149.0
1.24,149.0
1.25,149.0
1.26,149.0
1.27,149.0
1.28,149.0
1.29,149.0
1.3,149.0
1.31,149.0
1.32,149.0
1.33,149.0
1.34,149.0
1.35,149.0
1.36,149.0
1.37,149.0
1.38,149.0
1.39,149.0
1.4,149.0
1.41,149.0
1.42,149.0
1.43,149.0
1.44,149.0
1.45,149.0
1.46,149.0
1.47,149.0
1.48,149.0
1.49,149.0
1.5,149.0
1.51,149.0
1.52,149.0
1.53,149.0
1.54,149.0
1.55,149.0
1.56,149.0
1.57,149.0
1.58,149.0
1.59,149.0
1.6,149.0
1.61,149.0
1.62,149.0
1.63,149.0
1.64,149.0
1.65,149.0
1.66,149.0
1.67,149.0
1.68,149.0
1.69,149.0
1.7,149.0
1.71,149.0
1.72,149.0
1.73,149.0
1.74,149.0
1.75,149.0
1.76,149.0
1.77,149.0
1.78,149.0
1.79,149.0
1.8,149.0
1.81,149.0
1.82,149.0
1.83,149.0
1.84,149.0
1.85,149.0
1.86,149.0
1.87,149.0
1.88,149.0
1.89,149.0
1.9,149.0
1.91,149.0
1.92,149.0
1.93,149.0
1.94,149.0
1.95,149.0
1.96,149.0
1.97,149.0
1.98,149.0
1.99,149.0
2.0,181.0
2.01,181.0
2.02,181.0
2.03,181.0
2.04,181.0
2.05,181.0
2.06,181.0
2.07,181.0
2.08,181.0
2.09,181.0
2.1,181.0
2.11,181.0
2.12,181.0
2.13,181.0
2.14,181.0
2.15,181.0
2.16,181.0
2.17,181.0
2.18,181.0
2.19,181.0
2.2,181.0
2.21,181.0
2.22,181.0
2.23,181.0
2.24,181.0
2.25,181.0
2.26,181.0
2.27,181.0
2.28,181.0
2.29,181.0
2.3,181.0
2.31,181.0
2.32,181.0
2.33,181.0
2.34,181.0
2.35,181.0
2.36,181.0
2.37,181.0
2.38,181.0
2.39,181.0
2.4,181.0
2.41,181.0
2.42,181.0
2.43,181.0
2.44,181.0
2.45,181.0
2.46,181.0
2.47,181.0
2.48,181.0
2.49,181.0
2.5,351.0
2.51,351.0
2.52,351.0
2.53,351.0
2.54,351.0
2.55,351.0
2.56,351.0
2.57,351.0
2.58,351.0
2.59,351.0
2.6,351.0
2.61,351.0
2.62,351.0
2.63,351.0
2.64,351.0
2.65,351.0
2.66,351.0
2.67,351.0
2.68,351.0
2.69,351.0
2.7,351.0
2.71,351.0
2.72,351.0
2.73,351.0
2.74,351.0
2.75,351.0
2.76,351.0
2.77,351.0
2.78,351.0
2.79,351.0
2.8,351.0
2.81,351.0
2.82,351.0
2.83,351.0
2.84,351.0
2.85,351.0
2.86,351.0
2.87,351.0
2.88,351.0
2.89,351.0
2.9,351.0
2.91,351.0
2.92,351.0
2.93,351.0
2.94,351.0
2.95,351.0
2.96,351.0
2.97,351.0
2.98,351.0
2.99,351.0
3.0,225.0
3.01,225.0
3.02,225.0
3.03,225.0
3.04,225.0
3.05,225.0
3.06,225.0
3.07,225.0
3.08,225.0
3.09,225.0
3.1,225.0
3.11,225.0
3.12,225.0
3.13,225.0
3.14,225.0
3.15,225.0
3.16,225.0
3.17,225.0
3.18,225.0
3.19,225.0
3.2,225.0
3.21,225.0
3.22,225.0
3.23,225.0
3.24,225.0
3.25,225.0
3.26,225.0
3.27,225.0
3.28,225.0
3.29,225.0
3.3,225.0
3.31,225.0
3.32,225.0
3.33,225.0
3.34,225.0
3.35,225.0
3.36,225.0
3.37,225.0
3.38,225.0
3.39,225.0
3.4,225.0
3.41,225.0
3.42,225.0
3.43,225.0
3.44,225.0
3.45,225.0
3.46,225.0
3.47,225.0
3.48,225.0
3.49,225.0
3.5,99.0
3.51,99.0
3.52,99.0
3.53,99.0
3.54,99.0
3.55,99.0
3.56,99.0
3.57,99.0
3.58,99.0
3.59,99.0
3.6,99.0
3.61,99.0
3.62,99.0
3.63,99.0
3.64,99.0
3.65,99.0
3.66,99.0
3.67,99.0
3.68,99.0
3.69,99.0
3.7,99.0
3.71,99.0
3.72,99.0
3.73,99.0
3.74,99.0
3.75,99.0
3.76,99.0
3.77,99.0
3.78,99.0
3.79,99.0
3.8,99.0
3.81,99.0
3.82,99.0
3.83,99.0
3.84,99.0
3.85,99.0
3.86,99.0
3.87,99.0
3.88,99.0
3.89,99.0
3.9,99.0
3.91,99.0
3.92,99.0
3.93,99.0
3.94,99.0
3.95,99.0
3.96,99.0
3.97,99.0
3.98,99.0
3.99,99.0
4.0,196.0
4.01,196.0
