depth_input,R09
17.51,-0.257446183
18.01,-0.111331057
18.51,-0.26376748
19,-0.27103505
0.51,0.252861208
1.01,-0.238325569
1.51,-0.152527011
2.01,-0.230401833
2.51,-0.302505913
3.01,-0.363450427
3.51,-0.193013184
4.01,-0.176650643
4.51,-0.140982971
5.01,-0.228896459
5.51,-0.153487592
6.01,0.076530329
6.51,-0.034438364
7.01,-0.048477201
7.51,-0.166975034
8.01,0.182975577
8.51,-0.157441654
9.01,-0.189988909
9.51,-0.037948156
10.01,-0.051041677
10.51,-0.046672295
11.01,-0.195399327
11.51,-0.050441755
12.01,0.250673102
12.51,0.33894892
13.01,-0.060196485
13.51,-0.210830805
14.01,0.260418112
14.51,-0.080208064
15.01,0.195816839
15.51,0.466685961
16.01,0.482854291
16.51,0.156051799
17.01,0.306805327
17.51,0.128051349
18.01,0.189279336
18.51,0.157475367
19,0.168560873
0.51,-0.268499296
1.01,-0.458908411
1.51,-0.564129308
2.01,-0.368031472
2.51,-0.34097096
3.01,-0.353565361
3.51,-0.465414034
4.01,-0.457875839
4.51,-0.365215862
5.01,-0.420661974
5.51,-0.146709111
6.01,0.011041773
6.51,0.188590698
7.01,0.134926615
7.51,-0.118548145
8.01,-0.182671016
8.51,-0.068843811
9.01,-0.149916284
9.51,-0.040220191
10.01,-0.093564633
10.51,-0.311034061
11.01,-0.271955744
11.51,-0.155918747
12.01,-0.043761232
12.51,-0.203408103
13.01,-0.041182623
13.51,0.030966474
14.01,-0.025919155
14.51,0.000533699
15.01,-0.028225792
15.51,-0.140587294
16.01,-0.079441648
16.51,-0.39527359
17,0.060630331
0.5,0.150817384
1,0.10719609
1.5,0.147923716
2,0.170774364
2.5,0.406655577
3,0.41333666
4,0.373439804
4.5,0.511895031
5,0.82204498
5.5,0.533294562
6,0.120691548
6.5,-0.056242979
7,0.059556652
7.5,0.256249714
8,-0.08289668
8.5,-0.004821874
9,0.196244691
9.5,0.432024521
10,0.339743126
10.5,0.37049612
11,0.540403115
11.5,0.394930861
12,0.496809561
12.5,0.460885434
13,0.486255715
13.5,0.072612366
14,0.037600125
14.5,0.01162381
15,0.182405745
15.5,0.548485937
16,0.661886855
16.5,0.332134271
17,0.526236196
17.5,0.568150914
18,0.904880204
18.5,0.702136926
19,1.007658411
19.5,0.744181384
20,-0.184133251
20.5,0.443345108
21,0.585831434
21.5,0.382726658
22,0.730395479
22.5,0.536976247
23,-0.079530701
23.5,-0.019063861
24,0.241597102
24.5,0.172701299
25,0.141009959
0.51,-2.11197724
1.01,-0.162543446
1.51,-0.520127458
2.01,-0.299340094
2.51,0.001361582
3.01,-0.017805044
3.51,0.100359903
4.01,-0.286966727
4.51,-0.437951052
5.01,-0.098691
5.51,0.096266048
6.01,0.273282233
6.51,0.028720823
7.01,0.125399258
7.51,-0.062290244
8.01,0.229020162
8.51,0.220869307
9.01,0.521206806
