Station,easting,northing,vs30,uncertainty,q
SCPT_196093_measurement_num_0,1265112.51,5004330.88,219.55,0.347427378,5
CPT_125528_measurement_num_0,1267187,5007820,302.36,0.350903771,5
CPT_125529_measurement_num_0,1267299,5007853,307.78,0.338840204,5
CPT_188481_measurement_num_0,1281788.98,4879123.34,294.54,0.346025956,5
CPT_120700_measurement_num_0,1297390.51,5045581.64,217.58,0.345382386,5
CPT_216128_measurement_num_0,1347800.02,4874014.51,183.23,0.344051613,5
CPT_216131_measurement_num_0,1347805.83,4874086.98,169.59,0.356317774,5
CPT_216130_measurement_num_0,1347835.27,4874058.48,189.13,0.341799237,5
CPT_216129_measurement_num_0,1347842.96,4874042.44,182.53,0.346795288,5
CPT_90354_measurement_num_0,1353686.03,4864389.64,233.98,0.344424318,5
CPT_90368_measurement_num_0,1353698.43,4864495.87,208.23,0.35218765,5
CPT_215528_measurement_num_0,1356057,4868220,250.06,0.348877517,5
CPT_215529_measurement_num_0,1356092,4868185,245.81,0.345037765,5
CPT_215530_measurement_num_0,1356122,4868159,239.1,0.336019015,5
CPT_215532_measurement_num_0,1356135,4868200,254.34,0.332653272,5
CPT_215531_measurement_num_0,1356165,4868175,249.08,0.351091828,5
CPT_215298_measurement_num_0,1356909.13,4869172.58,239.77,0.344997144,5
CPT_77754_measurement_num_0,1376453.04,4903610.47,149.89,0.340375408,5
CPT_77790_measurement_num_0,1376461.28,4904067.56,143.71,0.334664132,5
CPT_77779_measurement_num_0,1376634.65,4908143.56,165.05,0.350518097,5
CPT_77791_measurement_num_0,1376648.35,4903443.76,156.23,0.333862916,5
CPT_77789_measurement_num_0,1376913.66,4904492.38,187.35,0.342010168,5
CPT_77784_measurement_num_0,1377009.56,4907617.08,142.47,0.354010578,5
CPT_77788_measurement_num_0,1377279.91,4904982.07,208.99,0.356971433,5
CPT_77772_measurement_num_0,1377387.25,4906617.52,126.7,0.338441412,5
CPT_77787_measurement_num_0,1377438.58,4905809.47,143.54,0.342230796,5
CPT_77786_measurement_num_0,1377592.22,4905433.66,186.86,0.34046798,5
CPT_77742_measurement_num_0,1378717.1,4903787.25,224.64,0.348481375,5
CPT_200189_measurement_num_0,1379476.85,4911468.53,265.08,0.337819708,5
CPT_226407_measurement_num_0,1385306.65,4918159.2,70.75,0.330437557,5
CPT_185409_measurement_num_0,1385319.27,4918277.85,234.81,0.348617489,5
CPT_185413_measurement_num_0,1385336.4,4918303.81,240.5,0.337397688,5
CPT_185414_measurement_num_0,1385351.04,4918334.46,232.91,0.352811384,5
CPT_185415_measurement_num_0,1385370.28,4918378.06,232.37,0.352122717,5
CPT_86483_measurement_num_0,1385394,4917325,223.37,0.341179228,5
CPT_185417_measurement_num_0,1385401.14,4918434.19,237.97,0.334771385,5
CPT_185420_measurement_num_0,1385426.27,4918469.32,227.14,0.343596932,5
CPT_185422_measurement_num_0,1385459.77,4918520.98,236.33,0.346223328,5
CPT_185423_measurement_num_0,1385497.46,4918572.9,227.34,0.332343768,5
CPT_144303_measurement_num_0,1393479.1,4916380.88,210.09,0.35040593,5
CPT_139870_measurement_num_0,1393959.65,4917216.85,259.86,0.348511049,5
CPT_139872_measurement_num_0,1393962.05,4917211.01,248.52,0.345957547,5
CPT_139874_measurement_num_0,1393967.76,4917171.83,248.92,0.349149466,5
CPT_139876_measurement_num_0,1393978.13,4917155.97,244.68,0.349981416,5
CPT_139875_measurement_num_0,1393999.48,4917183.25,254.94,0.342519168,5
CPT_139871_measurement_num_0,1394007.09,4917229.54,249.8,0.352189527,5
CPT_139873_measurement_num_0,1394009.8,4917221.75,251.5,0.336336054,5
CPT_139877_measurement_num_0,1394027.15,4917178.65,256.01,0.337746604,5
CPT_144254_measurement_num_0,1394221.74,4915950.82,224.27,0.344923318,5
CPT_136020_measurement_num_0,1394310.28,4917066.56,260.16,0.360678372,5
CPT_144250_measurement_num_0,1394442.11,4915415.6,210.94,0.359129312,5
CPT_144251_measurement_num_0,1394449.18,4915420.28,198.75,0.341567234,5
CPT_144300_measurement_num_0,1394489.13,4916140,214.75,0.345839316,5
CPT_154872_measurement_num_0,1394506.62,4916327.8,226.03,0.341595524,5
CPT_154871_measurement_num_0,1394525.21,4916320.07,234.31,0.331449925,5
CPT_154874_measurement_num_0,1394531.64,4916348.54,230.66,0.347994041,5
CPT_144252_measurement_num_0,1394621.27,4916952.65,240.07,0.352104307,5
CPT_144253_measurement_num_0,1394640.76,4916974.31,235.57,0.344138349,5
CPT_221839_measurement_num_0,1394835.06,4916318.67,228.11,0.34244204,5
CPT_187847_measurement_num_0,1395044.69,4916432.36,234.11,0.333823569,5
CPT_187848_measurement_num_0,1395106.04,4916423.72,233.57,0.358783891,5
CPT_208431_measurement_num_0,1395181.89,4916394.57,238.63,0.343211385,5
CPT_174913_measurement_num_0,1395951.3,4915919.11,265.45,0.343536276,5
CPT_194604_measurement_num_0,1405559.63,4914502.48,142.72,0.353062064,5
CPT_125219_measurement_num_0,1406155.15,4915116.29,131.75,0.348966342,5
CPT_125217_measurement_num_0,1406162.63,4915073.48,162.41,0.344300519,5
CPT_216279_measurement_num_0,1406180.13,4914805,133.24,0.341335866,5
CPT_216278_measurement_num_0,1406182.13,4914800.48,148.19,0.357042199,5
CPT_118802_measurement_num_0,1406245.56,4914168.19,119.02,0.341750293,5
CPT_171663_measurement_num_0,1406421.05,4917361.42,209.4,0.349285715,5
CPT_133614_measurement_num_0,1406425.97,4916413.18,165.63,0.345864773,5
CPT_118552_measurement_num_0,1406457.94,4913577.62,123.75,0.335132829,5
CPT_133615_measurement_num_0,1406494.49,4916327.19,134.01,0.34739577,5
CPT_118815_measurement_num_0,1406889.86,4913377.74,178.34,0.344654246,5
CPT_112478_measurement_num_0,1406906.77,4915002.69,147.08,0.329490723,5
CPT_112477_measurement_num_0,1406994.49,4914754.54,138.18,0.346273546,5
CPT_112476_measurement_num_0,1407020.57,4914789.83,144.07,0.35375961,5
CPT_112475_measurement_num_0,1407045.15,4914831.07,136.89,0.347812864,5
CPT_105749_measurement_num_1,1407884.1,4917952.15,172.22,0.344689017,5
CPT_99765_measurement_num_0,1441506.6,5277191.95,173.85,0.325789555,5
CPT_99766_measurement_num_0,1441525.46,5277192.38,169.1,0.35477589,5
CPT_99767_measurement_num_0,1441538.14,5277176,168.6,0.345766063,5
CPT_106617_measurement_num_0,1479423,5272862,213.91,0.334708868,5
CPT_112525_measurement_num_0,1525952.07,5433181.53,231.89,0.362187919,5
CPT_112528_measurement_num_0,1525962.07,5433234.5,230.16,0.34532588,5
CPT_112527_measurement_num_0,1526038.03,5433211.5,240.95,0.352126855,5
SCPT_104654_measurement_num_0,1559782,5164553,136.61,0.126720131,5
CPT_49298_measurement_num_0,1560103,5163955,140.24,0.129495036,5
CPT_60388_measurement_num_0,1560380.45,5164314.68,140.06,0.130735774,5
CPT_171490_measurement_num_0,1560674.81,5161667.92,115.05,0.134281698,5
CPT_93285_measurement_num_0,1560812.33,5163687.95,135.81,0.127973508,5
CPT_93286_measurement_num_0,1560826.33,5163665.96,141.43,0.125558915,5
CPT_72635_measurement_num_0,1562128.94,5165085.91,132.98,0.129879201,5
CPT_73044_measurement_num_0,1562154.18,5165110.87,134.41,0.127953785,5
CPT_9321_measurement_num_0,1562242.4,5162870,120.14,0.124688589,5
CPT_9324_measurement_num_0,1562247.9,5162850.1,121.63,0.127162025,5
CPT_9322_measurement_num_0,1562260.3,5162875.4,123.42,0.126282373,5
CPT_9323_measurement_num_0,1562267.6,5162863.6,125.22,0.121711801,5
CPT_835_measurement_num_0,1562317.11,5165570.74,116.41,0.13395644,5
CPT_57305_measurement_num_0,1562535.01,5173548.27,155.06,0.15510788,5
CPT_57068_measurement_num_0,1562591.99,5173547.35,155.06,0.146091859,5
CPT_72486_measurement_num_0,1562661.98,5169206.85,162.06,0.130791166,5
CPT_93888_measurement_num_0,1562825.27,5160095.02,114.78,0.146330296,5
CPT_55345_measurement_num_0,1563132,5165319,136.44,0.134037056,5
CPT_55349_measurement_num_0,1563162,5165270,135.8,0.129693009,5
CPT_55347_measurement_num_0,1563215,5165245,135.6,0.129721103,5
CPT_55353_measurement_num_0,1563228,5165180,137.72,0.129070401,5
CPT_55350_measurement_num_0,1563309,5165219,136.06,0.128724811,5
CPT_55351_measurement_num_0,1563324,5165178,135.91,0.126640017,5
CPT_56980_measurement_num_0,1563549,5176711,195.26,0.144696543,5
CPT_49390_measurement_num_0,1563562,5176287,180.48,0.135025025,5
CPT_49378_measurement_num_0,1563565,5176257,189.34,0.1304777,5
CPT_841_measurement_num_0,1564048.45,5165931.7,112.19,0.126761029,5
CPT_34040_measurement_num_0,1564107.83,5167228.11,126.32,0.123630642,5
CPT_34037_measurement_num_0,1564125.54,5167203.66,128.16,0.126671613,5
CPT_116095_measurement_num_0,1564128,5167199,128.16,0.132058344,5
CPT_48651_measurement_num_0,1564140.23,5177003.13,127.06,0.125230374,5
CPT_196493_measurement_num_0,1564147,5166079,128.17,0.132258623,5
CPT_180116_measurement_num_0,1564175.11,5166864.18,138.76,0.132572587,5
CPT_56073_measurement_num_0,1564198,5174045,125.44,0.132825948,5
CPT_180119_measurement_num_0,1564198.87,5166914.84,133.38,0.129374682,5
CPT_23924_measurement_num_0,1564229.33,5168015.69,141.95,0.132112465,5
CPT_11882_measurement_num_0,1564321.28,5176180.74,128.35,0.123552356,5
CPT_11884_measurement_num_0,1564336.5,5176174.71,125.37,0.130860706,5
CPT_11879_measurement_num_0,1564352.35,5176169.58,125.75,0.132202424,5
CPT_56178_measurement_num_0,1564423.05,5162174.82,114.86,0.126562618,5
CPT_56179_measurement_num_0,1564430.02,5162590.66,133.42,0.119374196,5
CPT_115885_measurement_num_0,1564435.13,5173710.81,119.12,0.12771127,5
CPT_115886_measurement_num_0,1564454.3,5173756.96,118.11,0.131235141,5
CPT_56180_measurement_num_0,1564495.01,5162296.78,120.94,0.121148099,5
CPT_115887_measurement_num_0,1564529.58,5173726.85,122.3,0.129585383,5
CPT_143396_measurement_num_0,1564533.64,5173406.63,139.33,0.133430009,5
CPT_128301_measurement_num_0,1564601,5173504,126.48,0.131816418,5
CPT_88675_measurement_num_0,1564605.32,5173639.81,123.02,0.127948737,5
CPT_143397_measurement_num_0,1564618.07,5173438.73,136.79,0.133312341,5
CPT_128299_measurement_num_0,1564658,5173237,129.21,0.12514377,5
CPT_44048_measurement_num_0,1564713.57,5173132.36,126.18,0.126003276,5
CPT_44047_measurement_num_0,1564714.69,5173117.49,127.23,0.12743984,5
CPT_44046_measurement_num_0,1564725.46,5173111.43,125.74,0.127397616,5
CPT_135233_measurement_num_0,1564743.63,5178460.24,170.71,0.134095505,5
CPT_91823_measurement_num_0,1564789.26,5173948.1,134.44,0.124224972,5
CPT_47712_measurement_num_0,1564805,5175666,127.07,0.126115084,5
CPT_30015_measurement_num_0,1564805.19,5173163.05,129.65,0.124516533,5
CPT_30018_measurement_num_0,1564819.53,5173182.56,129.92,0.126225425,5
CPT_16241_measurement_num_0,1564820.55,5173500.08,130.73,0.13376842,5
CPT_47713_measurement_num_0,1564857,5175654,127.92,0.132064519,5
CPT_128298_measurement_num_0,1564873,5173384,137.76,0.127869063,5
CPT_1192_measurement_num_0,1564913.67,5173182.53,117.42,0.125529353,5
CPT_122934_measurement_num_0,1564986.26,5178706.2,139.38,0.122668659,5
CPT_23092_measurement_num_0,1565012.06,5173429.13,120.35,0.121442808,5
CPT_28734_measurement_num_0,1565018.72,5173435.83,122.51,0.13009443,5
CPT_97378_measurement_num_0,1565025.53,5177674.47,157.01,0.126950442,5
CPT_128497_measurement_num_0,1565025.68,5177675.18,157.01,0.13567282,5
CPT_122932_measurement_num_0,1565076.65,5175313.78,132.76,0.133434795,5
CPT_94459_measurement_num_0,1565078.38,5178478.07,140.19,0.136971674,5
CPT_94457_measurement_num_0,1565091.39,5178461.25,148.42,0.135689545,5
CPT_44459_measurement_num_0,1565147.89,5173574.22,123.45,0.129033489,5
CPT_15142_measurement_num_0,1565181.22,5168259.81,145.88,0.116294049,5
CPT_17242_measurement_num_0,1565181.22,5168259.81,145.88,0.112706043,5
CPT_15141_measurement_num_0,1565196.01,5168252.81,142.35,0.122120041,5
CPT_17239_measurement_num_0,1565196.01,5168252.81,146.05,0.123725547,5
CPT_17236_measurement_num_0,1565196.21,5168298.8,148.37,0.122721888,5
CPT_17238_measurement_num_0,1565216.9,5168289.6,142.35,0.126357264,5
CPT_15140_measurement_num_0,1565216.9,5168289.6,142.35,0.125340277,5
CPT_1175_measurement_num_0,1565220.84,5173522.06,100.71,0.12710638,5
CPT_55549_measurement_num_0,1565225.99,5173548.48,137.67,0.129001063,5
CPT_94415_measurement_num_0,1565228.56,5178370.99,136.16,0.137052094,5
CPT_1174_measurement_num_0,1565259.24,5173518.37,108.08,0.124737961,5
CPT_94414_measurement_num_0,1565262.88,5178326.74,91.93,0.129022938,5
CPT_87765_measurement_num_0,1565295.64,5168955.26,140.61,0.121380123,5
CPT_55538_measurement_num_0,1565315.96,5173490.51,126.95,0.135631751,5
CPT_55539_measurement_num_0,1565315.96,5173530.5,142.09,0.131554244,5
CPT_38558_measurement_num_0,1565320.72,5171234.57,135.54,0.125138705,5
CPT_88358_measurement_num_0,1565340.18,5165791.92,125.73,0.121996234,5
CPT_19564_measurement_num_0,1565344.55,5180065.43,141.63,0.123426429,5
CPT_19566_measurement_num_0,1565352.64,5180105.22,132.18,0.1248121,5
CPT_19565_measurement_num_0,1565356.34,5180087.32,134.3,0.126166455,5
CPT_19575_measurement_num_0,1565371.24,5180067.33,139.13,0.124327142,5
CPT_59119_measurement_num_0,1565373.05,5177849.8,105.77,0.118439819,5
CPT_47734_measurement_num_0,1565379,5178237,163.49,0.142457434,5
CPT_59120_measurement_num_0,1565389.11,5177878.3,137.16,0.115396973,5
CPT_19226_measurement_num_0,1565420.94,5173692.92,154.74,0.135257096,5
CPT_47735_measurement_num_0,1565427,5178266,132,0.133428819,5
CPT_19227_measurement_num_0,1565436.12,5173692.77,143.19,0.130851299,5
CPT_47736_measurement_num_0,1565441,5178288,126.65,0.138521902,5
CPT_47733_measurement_num_0,1565445,5178234,155.47,0.134636804,5
CPT_5446_measurement_num_0,1565455.04,5177826.22,97.29,0.111759467,5
CPT_47732_measurement_num_0,1565460,5178207,161.31,0.136126044,5
CPT_47737_measurement_num_0,1565470,5178311,131.4,0.130014526,5
CPT_47731_measurement_num_0,1565491,5178230,134.44,0.132656034,5
CPT_47728_measurement_num_0,1565493,5178332,126.23,0.132730075,5
CPT_107907_measurement_num_0,1565497.69,5173509.17,157.28,0.128632958,5
CPT_47730_measurement_num_0,1565521,5178262,126.03,0.130247656,5
CPT_47729_measurement_num_0,1565545,5178279,124.81,0.126853229,5
CPT_104119_measurement_num_0,1565552.41,5180943.52,139.12,0.148920231,5
CPT_1167_measurement_num_0,1565564.23,5175304.9,100.75,0.131611348,5
CPT_88359_measurement_num_0,1565614.74,5165680.55,128.91,0.125952215,5
CPT_90249_measurement_num_0,1565674,5172938,125.99,0.12339131,5
CPT_1201_measurement_num_0,1565699.71,5174666.52,107.68,0.130729387,5
CPT_88245_measurement_num_0,1565711.02,5173384.26,159.99,0.129326146,5
CPT_102277_measurement_num_0,1565727,5180087,141.61,0.123334894,5
CPT_46627_measurement_num_0,1565747.78,5174741.8,125.25,0.128471687,5
CPT_112949_measurement_num_0,1565758.62,5171454.62,154.29,0.122366899,5
CPT_112950_measurement_num_0,1565839.64,5171470.76,149.69,0.120904346,5
CPT_112953_measurement_num_0,1565871.97,5171540.16,164.71,0.121364975,5
CPT_125253_measurement_num_0,1565881.01,5178407,118.51,0.122476049,5
CPT_125252_measurement_num_0,1565911.8,5178406.05,124.24,0.125949318,5
CPT_112951_measurement_num_0,1565919.11,5171475.61,159.61,0.123015719,5
CPT_1199_measurement_num_0,1565945.23,5174586.2,122.46,0.12733262,5
CPT_31061_measurement_num_0,1565963,5175565,118.82,0.127934682,5
CPT_149327_measurement_num_0,1566001.91,5175340.95,122.45,0.131875264,5
CPT_45540_measurement_num_0,1566008,5174853,124.59,0.131665481,5
CPT_87703_measurement_num_0,1566009,5173270,118.65,0.127894991,5
CPT_112955_measurement_num_0,1566012.47,5171578.08,171.96,0.126908715,5
CPT_90617_measurement_num_0,1566029.44,5174379.2,131.86,0.124876799,5
CPT_112952_measurement_num_0,1566034.89,5171507.67,166.86,0.12096347,5
CPT_31065_measurement_num_0,1566045,5175409,124.44,0.130038841,5
CPT_45543_measurement_num_0,1566072,5174580,119.31,0.127049211,5
CPT_199207_measurement_num_0,1566072.88,5180270.92,129.05,0.132445898,5
CPT_45536_measurement_num_0,1566075,5174993,124.32,0.133349456,5
CPT_31066_measurement_num_0,1566086,5175522,119.01,0.131816297,5
CPT_199233_measurement_num_0,1566099.13,5180274.05,132.12,0.131014127,5
CPT_45535_measurement_num_0,1566100,5175176,125.65,0.131589381,5
CPT_45542_measurement_num_0,1566130,5174611,123.99,0.129589819,5
CPT_91855_measurement_num_0,1566131.64,5173529.54,129.01,0.130471653,5
CPT_45463_measurement_num_0,1566140,5176235,140,0.125382752,5
CPT_87696_measurement_num_0,1566153,5173416,117.12,0.13249549,5
CPT_48021_measurement_num_0,1566156,5174630,118.8,0.126244341,5
CPT_87714_measurement_num_0,1566174,5173162,129.94,0.130458391,5
CPT_45465_measurement_num_0,1566182,5176190,135.33,0.130925913,5
CPT_128326_measurement_num_0,1566206.14,5174446,127.87,0.131260527,5
CPT_45466_measurement_num_0,1566213,5176218,135.15,0.123603601,5
